DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Sr,Ta,Li,B2_BEST_500#3_Full,46,27,17,10,60,750,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,293
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Sr,Ir,Li,B2_BEST_500#4_Full,42,30,17,11,60,840,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,241
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Sr,Re,Li,B2_BEST_500#5_Full,45,28,26,1,38,660,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,354
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Nb,B2_VARIANCE_500#6_High_Quality,48,39,9,4,36,770,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,311
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Au,Ba,B2_VARIANCE_500#7_Full,48,38,11,3,40,1440,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,293
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Ta,B2_VARIANCE_500#8_High_Quality,45,39,12,4,28,830,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,295
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Sr,Ta,Li,B2_BEST_500#9_Full,63,20,14,3,60,760,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,266
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Pr,B2_BEST_500#10_High_Quality,43,38,10,9,60,1120,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,248
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Ni,B2_BEST_500#11_Full,49,39,7,5,49,1190,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,301
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Ba,B2_VARIANCE_500#12_Full,45,42,9,4,60,830,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,262
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Sr,B2_BEST_500#13_Full,37,35,22,6,26,1440,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,377
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Gd,B2_VARIANCE_500#14_High_Quality,44,33,19,4,29,850,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,319
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Ce,B2_VARIANCE_500#15_High_Quality,45,40,8,7,60,910,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,320
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Ca,B2_VARIANCE_500#16_Full,43,28,19,10,45,740,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,321
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Nb,B2_VARIANCE_500#17_High_Quality,42,41,13,4,51,930,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,350
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ta,Cr,B2_VARIANCE_500#18_High_Quality,42,28,20,10,60,840,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,337
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Er,Ti,B2_VARIANCE_500#19_High_Quality,42,40,13,5,51,700,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,247
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Ni,Mn,Li,B3_BEST_400_#1_Full,61,20,16,3,34,1440,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,200
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Ni,Mo,None,B3_BEST_400_#2_Full,74,25,1,0,27,1331,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,208
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Mn,Cr,Li,B3_BEST_400_#3_Full,64,21,11,4,25,1440,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,188
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Sr,Ir,Li,B3_BEST_400_#4_Full,62,18,13,7,41,1440,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,207
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Mn,K,Zr,B3_BEST_400_#5_Full,52,30,13,5,48,766,1,0,0,1,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,242
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Zn,Mn,Li,B3_BEST_400_#6_Full,62,24,11,3,40,1440,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,182
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Mn,Zr,Li,B3_BEST_400_#7_Full,62,23,8,7,43,1440,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,209
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Zn,Cr,Zr,B3_BEST_400_#8_Full,53,24,15,8,44,1440,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,196
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ba,K,Ru,Nd,B3_VARIANCE_400_#1_Full(#9),61,22,14,3,43,1440,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,294
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ba,Na,Ru,Ni,B3_VARIANCE_400_#2_Full(#10),42,30,25,3,56,1440,1,0,1,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,282
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Sr,Nb,Pr,B3_VARIANCE_400_#3_Full(#11),48,26,24,2,60,1316,1,0,1,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,263
3rd batch,Hong Kong,HKUST,EXP,0,2/26/2023,0,0,0,Ru,Ba,W,Ni,B3_VARIANCE_400_#4_Full(#12),40,29,24,7,45,1415,1,0,1,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,273
